"gauge_name","year","month","ym","wy","wym","Q_m3s","cod_cuenca","area_km2"
"Aconcagua en Chacabuquito",2020,2,2020-02-01,2019,11,16,5410002,2113.422512
"Aconcagua en Chacabuquito",2020,3,2020-03-01,2019,12,12,5410002,2113.422512
"Aconcagua en Chacabuquito",2020,9,2020-09-01,2020,6,9,5410002,2113.422512
"Aconcagua en Chacabuquito",2020,10,2020-10-01,2020,7,17,5410002,2113.422512
"Aconcagua en Chacabuquito",2020,11,2020-11-01,2020,8,28,5410002,2113.422512
"Aconcagua en Chacabuquito",2020,12,2020-12-01,2020,9,40,5410002,2113.422512
"Aconcagua en Chacabuquito",2021,1,2021-01-01,2020,10,27,5410002,2113.422512
"Aconcagua en Chacabuquito",2021,2,2021-02-01,2020,11,18,5410002,2113.422512
"Aconcagua en Chacabuquito",2021,3,2021-03-01,2020,12,13,5410002,2113.422512
"Aconcagua en Chacabuquito",2021,9,2021-09-01,2021,6,10,5410002,2113.422512
"Aconcagua en Chacabuquito",2021,10,2021-10-01,2021,7,16,5410002,2113.422512
"Aconcagua en Chacabuquito",2021,11,2021-11-01,2021,8,31,5410002,2113.422512
"Aconcagua en Chacabuquito",2021,12,2021-12-01,2021,9,29,5410002,2113.422512
"Aconcagua en Chacabuquito",2022,1,2022-01-01,2021,10,26,5410002,2113.422512
"Aconcagua en Chacabuquito",2022,2,2022-02-01,2021,11,20,5410002,2113.422512
"Aconcagua en Chacabuquito",2022,3,2022-03-01,2021,12,15,5410002,2113.422512
"Choapa en Cuncumén",1990,9,1990-09-01,1990,6,3.5,4703002,1131.625892
"Choapa en Cuncumén",1990,10,1990-10-01,1990,7,6.5,4703002,1131.625892
"Choapa en Cuncumén",1990,11,1990-11-01,1990,8,8.5,4703002,1131.625892
"Choapa en Cuncumén",1990,12,1990-12-01,1990,9,5.7,4703002,1131.625892
"Choapa en Cuncumén",1991,1,1991-01-01,1990,10,3.2,4703002,1131.625892
"Choapa en Cuncumén",1991,2,1991-02-01,1990,11,2.6,4703002,1131.625892
"Choapa en Cuncumén",1991,3,1991-03-01,1990,12,2.5,4703002,1131.625892
"Choapa en Cuncumén",1991,9,1991-09-01,1991,6,9,4703002,1131.625892
"Choapa en Cuncumén",1991,10,1991-10-01,1991,7,16,4703002,1131.625892
"Choapa en Cuncumén",1991,11,1991-11-01,1991,8,38,4703002,1131.625892
"Choapa en Cuncumén",1991,12,1991-12-01,1991,9,32,4703002,1131.625892
"Choapa en Cuncumén",1992,1,1992-01-01,1991,10,18,4703002,1131.625892
"Choapa en Cuncumén",1992,2,1992-02-01,1991,11,12,4703002,1131.625892
"Choapa en Cuncumén",1992,3,1992-03-01,1991,12,8,4703002,1131.625892
"Choapa en Cuncumén",1992,9,1992-09-01,1992,6,9.2,4703002,1131.625892
"Choapa en Cuncumén",1992,10,1992-10-01,1992,7,17,4703002,1131.625892
"Choapa en Cuncumén",1992,11,1992-11-01,1992,8,36,4703002,1131.625892
"Choapa en Cuncumén",1992,12,1992-12-01,1992,9,35,4703002,1131.625892
"Choapa en Cuncumén",1993,1,1993-01-01,1992,10,16,4703002,1131.625892
"Choapa en Cuncumén",1993,2,1993-02-01,1992,11,8.9,4703002,1131.625892
"Choapa en Cuncumén",1993,3,1993-03-01,1992,12,6,4703002,1131.625892
"Choapa en Cuncumén",1993,9,1993-09-01,1993,6,6,4703002,1131.625892
"Choapa en Cuncumén",1993,10,1993-10-01,1993,7,12,4703002,1131.625892
"Choapa en Cuncumén",1993,11,1993-11-01,1993,8,26,4703002,1131.625892
"Choapa en Cuncumén",1993,12,1993-12-01,1993,9,13,4703002,1131.625892
"Choapa en Cuncumén",1994,1,1994-01-01,1993,10,6,4703002,1131.625892
"Choapa en Cuncumén",1994,2,1994-02-01,1993,11,5,4703002,1131.625892
"Choapa en Cuncumén",1994,3,1994-03-01,1993,12,3,4703002,1131.625892
"Choapa en Cuncumén",1994,9,1994-09-01,1994,6,5,4703002,1131.625892
"Choapa en Cuncumén",1994,10,1994-10-01,1994,7,9,4703002,1131.625892
"Choapa en Cuncumén",1994,11,1994-11-01,1994,8,16,4703002,1131.625892
"Choapa en Cuncumén",1994,12,1994-12-01,1994,9,10,4703002,1131.625892
"Choapa en Cuncumén",1995,1,1995-01-01,1994,10,5,4703002,1131.625892
"Choapa en Cuncumén",1995,2,1995-02-01,1994,11,4,4703002,1131.625892
"Choapa en Cuncumén",1995,3,1995-03-01,1994,12,3,4703002,1131.625892
"Choapa en Cuncumén",1995,9,1995-09-01,1995,6,3,4703002,1131.625892
"Choapa en Cuncumén",1995,10,1995-10-01,1995,7,6,4703002,1131.625892
"Choapa en Cuncumén",1995,11,1995-11-01,1995,8,9,4703002,1131.625892
"Choapa en Cuncumén",1995,12,1995-12-01,1995,9,5,4703002,1131.625892
"Choapa en Cuncumén",1996,1,1996-01-01,1995,10,3,4703002,1131.625892
"Choapa en Cuncumén",1996,2,1996-02-01,1995,11,2,4703002,1131.625892
"Choapa en Cuncumén",1996,3,1996-03-01,1995,12,2,4703002,1131.625892
"Choapa en Cuncumén",1996,9,1996-09-01,1996,6,3,4703002,1131.625892
"Choapa en Cuncumén",1996,10,1996-10-01,1996,7,6,4703002,1131.625892
"Choapa en Cuncumén",1996,11,1996-11-01,1996,8,8,4703002,1131.625892
"Choapa en Cuncumén",1996,12,1996-12-01,1996,9,5,4703002,1131.625892
"Choapa en Cuncumén",1997,1,1997-01-01,1996,10,3,4703002,1131.625892
"Choapa en Cuncumén",1997,2,1997-02-01,1996,11,3,4703002,1131.625892
"Choapa en Cuncumén",1997,3,1997-03-01,1996,12,2,4703002,1131.625892
"Choapa en Cuncumén",1997,9,1997-09-01,1997,6,16,4703002,1131.625892
"Choapa en Cuncumén",1997,10,1997-10-01,1997,7,37,4703002,1131.625892
"Choapa en Cuncumén",1997,11,1997-11-01,1997,8,70,4703002,1131.625892
"Choapa en Cuncumén",1997,12,1997-12-01,1997,9,85,4703002,1131.625892
"Choapa en Cuncumén",1998,1,1998-01-01,1997,10,53,4703002,1131.625892
"Choapa en Cuncumén",1998,2,1998-02-01,1997,11,27,4703002,1131.625892
"Choapa en Cuncumén",1998,3,1998-03-01,1997,12,16,4703002,1131.625892
"Choapa en Cuncumén",1998,9,1998-09-01,1998,6,3.5,4703002,1131.625892
"Choapa en Cuncumén",1998,10,1998-10-01,1998,7,3,4703002,1131.625892
"Choapa en Cuncumén",1998,11,1998-11-01,1998,8,3,4703002,1131.625892
"Choapa en Cuncumén",1998,12,1998-12-01,1998,9,3,4703002,1131.625892
"Choapa en Cuncumén",1999,1,1999-01-01,1998,10,2.5,4703002,1131.625892
"Choapa en Cuncumén",1999,2,1999-02-01,1998,11,2,4703002,1131.625892
"Choapa en Cuncumén",1999,3,1999-03-01,1998,12,2,4703002,1131.625892
"Choapa en Cuncumén",1999,9,1999-09-01,1999,6,4,4703002,1131.625892
"Choapa en Cuncumén",1999,10,1999-10-01,1999,7,12,4703002,1131.625892
"Choapa en Cuncumén",1999,11,1999-11-01,1999,8,23,4703002,1131.625892
"Choapa en Cuncumén",1999,12,1999-12-01,1999,9,16,4703002,1131.625892
"Choapa en Cuncumén",2000,1,2000-01-01,1999,10,10,4703002,1131.625892
"Choapa en Cuncumén",2000,2,2000-02-01,1999,11,6,4703002,1131.625892
"Choapa en Cuncumén",2000,3,2000-03-01,1999,12,5,4703002,1131.625892
"Choapa en Cuncumén",2000,9,2000-09-01,2000,6,8,4703002,1131.625892
"Choapa en Cuncumén",2000,10,2000-10-01,2000,7,15,4703002,1131.625892
"Choapa en Cuncumén",2000,11,2000-11-01,2000,8,30,4703002,1131.625892
"Choapa en Cuncumén",2000,12,2000-12-01,2000,9,24,4703002,1131.625892
"Choapa en Cuncumén",2001,1,2001-01-01,2000,10,13,4703002,1131.625892
"Choapa en Cuncumén",2001,2,2001-02-01,2000,11,7,4703002,1131.625892
"Choapa en Cuncumén",2001,3,2001-03-01,2000,12,5,4703002,1131.625892
"Choapa en Cuncumén",2001,9,2001-09-01,2001,6,8,4703002,1131.625892
"Choapa en Cuncumén",2001,10,2001-10-01,2001,7,19,4703002,1131.625892
"Choapa en Cuncumén",2001,11,2001-11-01,2001,8,35,4703002,1131.625892
"Choapa en Cuncumén",2001,12,2001-12-01,2001,9,32,4703002,1131.625892
"Choapa en Cuncumén",2002,1,2002-01-01,2001,10,15,4703002,1131.625892
"Choapa en Cuncumén",2002,2,2002-02-01,2001,11,9,4703002,1131.625892
"Choapa en Cuncumén",2002,3,2002-03-01,2001,12,6,4703002,1131.625892
"Choapa en Cuncumén",2002,9,2002-09-01,2002,6,15,4703002,1131.625892
"Choapa en Cuncumén",2002,10,2002-10-01,2002,7,25,4703002,1131.625892
"Choapa en Cuncumén",2002,11,2002-11-01,2002,8,50,4703002,1131.625892
"Choapa en Cuncumén",2002,12,2002-12-01,2002,9,45,4703002,1131.625892
"Choapa en Cuncumén",2003,1,2003-01-01,2002,10,30,4703002,1131.625892
"Choapa en Cuncumén",2003,2,2003-02-01,2002,11,15,4703002,1131.625892
"Choapa en Cuncumén",2003,3,2003-03-01,2002,12,10,4703002,1131.625892
"Choapa en Cuncumén",2003,9,2003-09-01,2003,6,7,4703002,1131.625892
"Choapa en Cuncumén",2003,10,2003-10-01,2003,7,13,4703002,1131.625892
"Choapa en Cuncumén",2003,11,2003-11-01,2003,8,23,4703002,1131.625892
"Choapa en Cuncumén",2003,12,2003-12-01,2003,9,17,4703002,1131.625892
