"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
2010,5,"3414001",0,4.135,27.181,62.632,0,93.948
2011,5,"3414001",0,6.174,29.449,99.894,0,135.517
2012,5,"3414001",0.42,11.728,47.878,57.137,0,117.163
2013,5,"3414001",0,7.358,37.196,61.244,0,105.798
2014,5,"3414001",0,5.67,12.561,33.854,0,52.085
2015,5,"3414001",0,7.42,49.104,86.888,0,143.412
2016,5,"3414001",0,14.68,64.592,143.413,0,222.685
2017,5,"3414001",0.397,18.323,40.376,144.463,0,203.559
2018,5,"3414001",0,17.166,23.457,69.948,0,110.571
2019,5,"3414001",0.169,8.614,26.575,19.897,0,55.255
1981,6,"3414001",0.223,10.491,29.864,47.355,0,87.933
1982,6,"3414001",0,8.59,50.565,91.676,0,150.831
1983,6,"3414001",0,12.311,52.363,190.194,0,254.868
1984,6,"3414001",0,24.655,44.975,160.285,0,229.915
1985,6,"3414001",0.349,20.843,35.633,66.987,0,123.812
1986,6,"3414001",0.16,9.705,17.131,87.576,0,114.572
1987,6,"3414001",0,15.755,56.825,250.535,0,323.115
1988,6,"3414001",0.422,29.013,46.29,53.117,0,128.842
1989,6,"3414001",0,14.045,30.8,130.191,0,175.036
1990,6,"3414001",0.337,15.492,25.951,46.167,0,87.947
1991,6,"3414001",0,6.481,28.328,91.359,0,126.168
1992,6,"3414001",0.431,12.235,52.351,142.17,0,207.187
1993,6,"3414001",0,18.143,34.829,56.111,0,109.083
1994,6,"3414001",0,8.603,45.003,21.391,0,74.997
1995,6,"3414001",0.356,5.569,41.259,42.717,0,89.901
1996,6,"3414001",0,7.149,33.516,36.654,0,77.319
1997,6,"3414001",0,10.53,75.505,232.106,0,318.141
1998,6,"3414001",0.54,26.864,57.031,57.347,0,141.782
1999,6,"3414001",0.479,13.095,39.251,36.843,0,89.668
2000,6,"3414001",0.355,8.744,32.433,94.779,0,136.311
2001,6,"3414001",0,16.306,77.761,62.932,0,156.999
2002,6,"3414001",0.618,15.448,72.217,147.02,0,235.303
2003,6,"3414001",0.5,15.729,31.583,48.946,0,96.758
2004,6,"3414001",0.303,6.993,30.789,67.761,0,105.846
2005,6,"3414001",0,9.083,38.994,96.21,0,144.287
2006,6,"3414001",0.593,10.657,41.98,32.621,0,85.851
2007,6,"3414001",0.549,5.576,43.267,106.13,0,155.522
2008,6,"3414001",0,7.874,20.259,64.152,0,92.285
2009,6,"3414001",0,5.261,21.423,54.955,0,81.639
2010,6,"3414001",0,3.697,26.863,73.892,0,104.452
2011,6,"3414001",0.326,5.727,28.161,96.672,0,130.886
2012,6,"3414001",0.455,11.733,44.657,50.117,0,106.962
2013,6,"3414001",0,6.865,36.437,60.272,0,103.574
2014,6,"3414001",0.228,5.443,23.732,48.687,0,78.09
2015,6,"3414001",0.443,6.979,49.051,98.161,0,154.634
2016,6,"3414001",0.632,13.621,54.361,139.743,0,208.357
2017,6,"3414001",0,16.408,38.296,157.035,0,211.739
2018,6,"3414001",0.249,15.553,22.493,65.737,0,104.032
2019,6,"3414001",0.436,8.876,37.624,16.105,0,63.041
1981,7,"3414001",0.764,10.725,39.282,40.806,0,91.577
1982,7,"3414001",1.078,10.144,54.708,73.615,0,139.545
1983,7,"3414001",0.375,11.139,44.054,194.018,0,249.586
1984,7,"3414001",0.647,22.902,41.684,152.469,0,217.702
1985,7,"3414001",0.542,20.299,43.342,65.786,0,129.969
1986,7,"3414001",0.265,9.159,25.234,94.981,0,129.639
1987,7,"3414001",0.662,16.143,62.672,263.317,0,342.794
1988,7,"3414001",0.481,25.9,34.51,53.071,0,113.962
1989,7,"3414001",0.488,12.711,28.038,126.724,0,167.961
1990,7,"3414001",0.669,15.055,35.362,31.347,0,82.433
1991,7,"3414001",0.377,6.044,26.581,93.765,0,126.767
1992,7,"3414001",0.683,12.949,49.518,137.357,0,200.507
1993,7,"3414001",0.5,17.434,38.83,41.231,0,97.995
1994,7,"3414001",0,9.604,44.666,11.592,0,65.862
1995,7,"3414001",0.851,6.344,43.416,31.02,0,81.631
1996,7,"3414001",0.847,8.088,41.117,15.578,0,65.63
1997,7,"3414001",1.443,14.728,89.13,249.79,0,355.091
1998,7,"3414001",0.842,28.09,61.402,39.935,0,130.269
1999,7,"3414001",0,17.037,62.504,47.095,0,126.636
2000,7,"3414001",0.523,8.721,33.677,80.905,0,123.826
2001,7,"3414001",1.144,19.169,75.85,54.43,0,150.593
2002,7,"3414001",1.074,16.044,59.402,136.929,0,213.449
2003,7,"3414001",0.772,17.692,49.936,9.162,0,77.562
2004,7,"3414001",0.661,7.82,37.586,57.834,0,103.901
2005,7,"3414001",0.505,8.296,36.283,97.122,0,142.206
2006,7,"3414001",0.872,13.262,49.883,0,0,64.017
