"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
2011,2,"3414001",0.109,10.206,46.086,1.582,0,57.983
2012,2,"3414001",0.158,16.098,75.214,26.692,0.712,118.874
2013,2,"3414001",0.075,13.413,53.205,13.967,0.794,81.454
2014,2,"3414001",0,9.206,21.813,27.995,0,59.014
2015,2,"3414001",0.064,10.063,46.103,1.167,0,57.397
2016,2,"3414001",0.116,16.927,80.202,61.723,0,158.968
2017,2,"3414001",0,21.557,91.422,172.596,0.911,286.486
2018,2,"3414001",0.168,21.653,78.493,131.342,0,231.656
2019,2,"3414001",0.125,22.008,72.608,70.113,0,164.854
1981,3,"3414001",0.124,11.562,61.938,25.898,0,99.522
1982,3,"3414001",0.074,12.927,53.734,31.794,0,98.529
1983,3,"3414001",0.165,17.323,75.685,51.135,1.161,145.469
1984,3,"3414001",0.159,18.246,86.482,170.104,1.078,276.069
1985,3,"3414001",0.119,18.468,68.006,197.176,0,283.769
1986,3,"3414001",0,19.662,74.132,173.487,0.41,267.691
1987,3,"3414001",0.192,18.715,84.67,228.3,0,331.877
1988,3,"3414001",0.165,20.912,83.847,387.328,0,492.252
1989,3,"3414001",0.158,18.33,71.556,380.393,0.281,470.718
1990,3,"3414001",0.165,16.276,63.242,384.043,0,463.726
1991,3,"3414001",0.104,19.156,75.545,329.391,0,424.196
1992,3,"3414001",0,17.351,71.668,427.084,0.25,516.353
1993,3,"3414001",0.183,16.93,66.549,397.286,0,480.948
1994,3,"3414001",0,12.361,42.622,2.609,0,57.592
1995,3,"3414001",0.047,8.377,22.645,4.603,0,35.672
1996,3,"3414001",0.047,7.351,26.925,14.894,0,49.217
1997,3,"3414001",0,7.482,41.493,165.191,0,214.166
1998,3,"3414001",0,16.873,79.37,230.932,0,327.175
1999,3,"3414001",0.115,18.696,74.693,142.879,0.442,236.825
2000,3,"3414001",0.144,19.457,74.131,127.74,0.249,221.721
2001,3,"3414001",0.194,18.934,85.124,88.153,0,192.405
2002,3,"3414001",0.224,23.065,112.37,84.366,1.27,221.295
2003,3,"3414001",0.231,23.958,87.14,75.293,0,186.622
2004,3,"3414001",0.102,17.91,49.863,7.379,0,75.254
2005,3,"3414001",0.171,15.513,49.016,20.184,0,84.884
2006,3,"3414001",0.126,13.443,50.194,5.987,0,69.75
2007,3,"3414001",0.134,10.749,65.988,34.705,1.156,112.732
2008,3,"3414001",0.117,12.339,60.206,29.631,0.768,103.061
2009,3,"3414001",0.044,10.168,34.579,10.816,0,55.607
2010,3,"3414001",0.058,7.788,33.612,52.723,0,94.181
2011,3,"3414001",0.072,10.229,50.961,58.236,0,119.498
2012,3,"3414001",0.18,16.458,77.342,35.649,0,129.629
2013,3,"3414001",0,13.126,51.617,14.954,0,79.697
2014,3,"3414001",0.033,8.491,21.262,28.556,0,58.342
2015,3,"3414001",0.116,9.386,43.43,0,0,52.932
2016,3,"3414001",0.2,17.242,86.514,101.037,0,204.993
2017,3,"3414001",0,21.083,94.294,214.318,0.952,330.647
2018,3,"3414001",0.189,20.244,76.575,147.134,0,244.142
2019,3,"3414001",0.169,21.268,73.464,66.82,0.1,161.821
1981,4,"3414001",0.204,11.141,61.122,32.098,0,104.565
1982,4,"3414001",0.216,13.201,76.374,62.916,1.839,154.546
1983,4,"3414001",0,17.244,76.503,129.036,0,222.783
1984,4,"3414001",0.257,18.624,89.646,286.662,0,395.189
1985,4,"3414001",0,17.397,66.87,229.006,0,313.273
1986,4,"3414001",0.137,18.694,75.436,197.873,0.533,292.673
1987,4,"3414001",0.176,19.446,104.778,366.356,2.427,493.183
1988,4,"3414001",0.186,19.296,80.49,398.657,0,498.629
1989,4,"3414001",0.168,17.335,69.641,393.345,0,480.489
1990,4,"3414001",0.138,15.608,64.649,401.745,0,482.14
1991,4,"3414001",0,18.298,76.706,369.16,0.262,464.426
1992,4,"3414001",0,16.764,73.003,464.285,0,554.052
1993,4,"3414001",0.203,16.555,69.67,406.146,0,492.574
1994,4,"3414001",0,12.582,67.85,12.217,1.958,94.607
1995,4,"3414001",0.058,7.807,22.61,4.457,0,34.932
1996,4,"3414001",0.086,6.81,26.206,14.196,0,47.298
1997,4,"3414001",0.168,8.602,59.139,163.011,0.596,231.516
1998,4,"3414001",0.134,16.328,79.503,239.542,0,335.507
1999,4,"3414001",0.159,17.543,72.101,149.645,0,239.448
2000,4,"3414001",0.135,18.11,72.404,163.729,0,254.378
2001,4,"3414001",0.306,17.855,81.445,91.142,0,190.748
2002,4,"3414001",0,23.53,118.443,132.956,0.727,275.656
2003,4,"3414001",0.261,23.455,89.977,82.963,0,196.656
2004,4,"3414001",0.11,17.585,64.579,42.23,1.348,125.852
2005,4,"3414001",0.144,14.784,50.267,34.061,0,99.256
2006,4,"3414001",0.124,13.757,57.498,14.738,0.243,86.36
2007,4,"3414001",0.178,11.363,67.877,61.802,0,141.22
2008,4,"3414001",0.126,12.295,58.376,36.037,0,106.834
2009,4,"3414001",0.078,10.037,39.906,29.6,0,79.621
2010,4,"3414001",0,7.178,32.817,57.07,0,97.065
2011,4,"3414001",0,11.051,61.489,98.037,0,170.577
2012,4,"3414001",0.204,15.466,73.945,33.422,0,123.037
2013,4,"3414001",0.156,13.79,60.457,34.429,0,108.832
2014,4,"3414001",0.058,7.832,20.679,31.695,0,60.264
2015,4,"3414001",0.127,9.454,47.881,36.899,0,94.361
2016,4,"3414001",0.185,18.1,94.902,133.81,0.273,247.27
2017,4,"3414001",0.274,20.595,89.818,211.697,0,322.384
2018,4,"3414001",0.151,20.392,87.037,185.89,0.661,294.131
2019,4,"3414001",0.265,20.269,71.233,63.395,0,155.162
1981,5,"3414001",0.185,11.118,63.234,59.205,0,133.742
1982,5,"3414001",0.302,14.167,72.882,58.367,0,145.718
1983,5,"3414001",0,16.215,73.956,186.077,0,276.248
1984,5,"3414001",0.252,17.065,87.161,296.412,0,400.89
1985,5,"3414001",0,16.684,82.342,254.255,2.279,355.56
1986,5,"3414001",0.245,17.892,71.975,233.693,0,323.805
1987,5,"3414001",0.356,20.214,110.981,429.331,1.329,562.211
1988,5,"3414001",0.344,18.242,76.302,395.5,0,490.388
1989,5,"3414001",0,16.494,69.408,438.093,0,523.995
1990,5,"3414001",0.172,15.073,62.326,396.845,0,474.416
1991,5,"3414001",0.357,17.578,74.084,366.596,0,458.615
1992,5,"3414001",0.136,15.438,68.509,471.725,0,555.808
1993,5,"3414001",0.155,15.812,66.845,404.269,0,487.081
