"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
1982,11,"3421001",0.409,12.662,35.477,0,0,48.548
1983,11,"3421001",0.526,34.397,58.683,0,0,93.606
1984,11,"3421001",0.633,43.022,46.521,0,0,90.176
1985,11,"3421001",0.275,15.368,22.726,0,0,38.369
1986,11,"3421001",0.734,15.171,56.91,0,0,72.815
1987,11,"3421001",0.734,84.453,66.885,0,0,152.072
1988,11,"3421001",0.33,25.532,29.906,0,0,55.768
1989,11,"3421001",0.394,27.416,42.62,0,0,70.43
1990,11,"3421001",0.155,8.407,14.05,0,0,22.612
1991,11,"3421001",0.32,10.048,27.011,0,0,37.379
1992,11,"3421001",0.465,21.802,41.777,0,0,64.044
1993,11,"3421001",0.116,7.077,12.059,0,0,19.252
1994,11,"3421001",0.196,3.488,16.539,0,0,20.223
1995,11,"3421001",0.244,3.034,20.873,0,0,24.151
1996,11,"3421001",0.223,2.268,15.182,0,0,17.673
1997,11,"3421001",0.559,77.507,50.696,0,0,128.762
1998,11,"3421001",0.265,23.04,23.904,0,0,47.209
1999,11,"3421001",0.22,10.224,20.802,0,0,31.246
2000,11,"3421001",0.479,12.408,39.088,0,0,51.975
2001,11,"3421001",0.235,8.315,21.427,0,0,29.977
2002,11,"3421001",0.378,34.247,32.99,0,0,67.615
2003,11,"3421001",0.217,11.141,17.254,0,0,28.612
2004,11,"3421001",0.281,8.454,25.876,0,0,34.611
2005,11,"3421001",0.326,7.191,35.241,0,0,42.758
2006,11,"3421001",0.169,3.614,14.91,0,0,18.693
2007,11,"3421001",0.187,7.189,19.262,0,0,26.638
2008,11,"3421001",0.312,5.045,32.759,0,0,38.116
2009,11,"3421001",0.22,2.705,17.606,0,0,20.531
2010,11,"3421001",0.352,7.278,31.741,0,0,39.371
2011,11,"3421001",0.415,11.904,37.568,0,0,49.887
2012,11,"3421001",0.279,5.955,23.301,0,0,29.535
2013,11,"3421001",0.199,5.493,16.622,0,0,22.314
2014,11,"3421001",0.165,3.61,15.254,0,0,19.029
2015,11,"3421001",0.329,20.235,28.872,0,0,49.436
2016,11,"3421001",0.414,20.072,39.578,0,0,60.064
2017,11,"3421001",0.336,37.874,36.433,0,0,74.643
2018,11,"3421001",0.221,16.018,20.206,0,0,36.445
2019,11,"3421001",0.148,4.776,12.198,0,0,17.122
1981,12,"3421001",0.124,6.39,13.349,0,0,19.863
1982,12,"3421001",0.227,11.356,25.984,0,0,37.567
1983,12,"3421001",0.317,31.871,54.02,0,0,86.208
1984,12,"3421001",0.334,38.471,34.211,0,0,73.016
1985,12,"3421001",0.138,13.748,17.271,0,0,31.157
1986,12,"3421001",0.287,15.34,58.486,0,0,74.113
1987,12,"3421001",0.427,75.523,49.089,0,0,125.039
1988,12,"3421001",0.186,22.828,22.397,0,0,45.411
1989,12,"3421001",0.272,24.512,31.773,0,0,56.557
1990,12,"3421001",0.074,7.518,10.28,0,0,17.872
1991,12,"3421001",0.265,9.585,37.031,0,0,46.881
1992,12,"3421001",0.25,19.53,31.176,0,0,50.956
1993,12,"3421001",0.092,6.357,10.9,0,0,17.349
1994,12,"3421001",0.116,3.119,11.98,0,0,15.215
1995,12,"3421001",0.138,2.722,16.051,0,0,18.911
1996,12,"3421001",0.215,2.357,23.818,0,0,26.39
1997,12,"3421001",0.325,69.412,38.411,0,0,108.148
1998,12,"3421001",0.166,20.772,23.04,0,0,43.978
1999,12,"3421001",0.123,9.141,15.442,0,0,24.706
2000,12,"3421001",0.426,13.728,64.577,0,0,78.731
2001,12,"3421001",0.13,7.435,15.495,0,0,23.06
2002,12,"3421001",0.205,30.62,23.768,0,0,54.593
2003,12,"3421001",0.122,10.077,20.818,0,0,31.017
2004,12,"3421001",0.186,7.762,24.847,0,0,32.795
2005,12,"3421001",0.229,6.43,25.8,0,0,32.459
2006,12,"3421001",0.091,3.232,10.794,0,0,14.117
