"wy_simple","wym","cod_cuenca","Q_mm"
"1982",2,"4511002",9.81427817294464
"1982",2,"4513001",7.06990099721389
"1982",2,"4515002",0.345921532709989
"1982",2,"4522002",0.19153106057098
"1982",2,"4531002",3.8681904946068
"1982",2,"4703002",7.08683678750092
"1982",2,"5100001",5.20293246470926
"1982",2,"5101001",2.91864994030442
"1982",2,"5200001",3.49247306917583
"1982",2,"5401003",23.4574539826644
"1982",2,"5410002",17.8815924299366
"1982",2,"5411001",8.32657201181249
"1982",2,"5414001",9.43859154668696
"1982",2,"5707002",28.7030475155378
"1982",2,"5710001",27.612380271508
"1982",2,"5721001",10.1721240618507
"1982",2,"5722001",10.6975134160189
"1982",2,"5722002",15.2604552680954
"1982",2,"5730008",11.5589356505993
"1982",2,"5741001",4.29184472412863
"1982",2,"6003001",69.048720728332
"1982",2,"6008005",9.73279251159133
"1982",2,"6013001",61.9020925882878
"1982",2,"6027001",44.3070236547542
"1982",2,"6028001",47.4905883864797
"1982",2,"7103001",75.5176808164937
"1982",2,"7104002",51.8358082871942
"1982",2,"7112001",63.9914965246554
"1982",2,"7115001",86.4531801303071
"1982",2,"7330001",260.825511736097
"1982",2,"7358001",237.679735051076
"1982",2,"7381001",23.8967540215875
"1982",2,"8104001",143.440990164097
"1982",2,"8106001",154.563809172307
"1982",2,"7317005",97.255157702843
"1982",2,"7350003",278.846029272005
"1982",2,"7321002",69.7436120103552
"1982",2,"7354002",115.823879319143
"1982",2,"7355002",169.673566805425
"1982",3,"3414001",1.04480932914906
"1982",3,"3421001",0.901520900028045
"1982",3,"3430003",0.535725659948318
"1982",3,"3820001",1.70166839933385
"1982",3,"4302001",3.2733953258328
"1982",3,"4311001",8.09231212055112
"1982",3,"4313001",7.19346288655948
"1982",3,"4320001",2.24163696665456
"1982",3,"4501001",5.59628700071451
"1982",3,"4503001",1.91581717213913
"1982",3,"4511002",12.0664863259803
"1982",3,"4513001",8.96563907805876
"1982",3,"4515002",0.747449648126382
"1982",3,"4522002",1.01493562003501
"1982",3,"4531002",11.5110908602511
"1982",3,"4703002",11.961804778041
"1982",3,"5100001",23.1424563319559
"1982",3,"5101001",9.61179861845922
"1982",3,"5200001",19.9335109906457
"1982",3,"5401003",20.251901522709
"1982",3,"5410002",33.0392468086463
"1982",3,"5411001",95.961582139232
"1982",3,"5414001",22.2432985152045
"1982",3,"5707002",48.2818098324361
"1982",3,"5710001",55.7389775180044
"1982",3,"5721001",9.99065142253137
"1982",3,"5722001",110.849899485266
"1982",3,"5722002",92.0408058639536
"1982",3,"5730008",50.2024941519167
"1982",3,"5741001",110.625496003805
"1982",3,"6003001",71.6531788910051
"1982",3,"6008005",25.9471802052181
"1982",3,"6013001",274.420501163713
"1982",3,"6027001",357.695539233559
"1982",3,"6028001",110.238648881709
"1982",3,"7103001",303.867428265225
"1982",3,"7104002",184.336588750637
"1982",3,"7112001",171.985758500208
"1982",3,"7115001",204.803933757601
"1982",3,"7330001",602.444763236554
"1982",3,"7358001",476.709168839642
"1982",3,"7381001",77.6142163204523
"1982",3,"8104001",344.391735533966
"1982",3,"8106001",389.538946289883
"1982",3,"7317005",214.1978298886
"1982",3,"7350003",707.739601637523
"1982",3,"7321002",165.946612565641
"1982",3,"7354002",375.248337075629
"1982",3,"7355002",637.601443097871
"1982",4,"3414001",1.73037353835288
"1982",4,"3421001",1.05952031572326
"1982",4,"3430003",0.589437134930172
