"wy_simple","wym","cod_cuenca","pr","tem"
1979,6,"5707002",50.012,-2.225
1979,7,"5707002",19.388,2.343
1979,8,"5707002",47.029,4.273
1979,9,"5707002",51.628,6.875
1979,10,"5707002",19.527,8.75
1979,11,"5707002",18.172,7.831
1979,12,"5707002",0.034,10.755
1979,1,"5710001",15.326,6.938
1979,2,"5710001",68.121,1.638
1979,3,"5710001",5.258,-1.442
1979,4,"5710001",196.094,0.919
1979,5,"5710001",209.376,1.1
1979,6,"5710001",102.942,-1.287
1979,7,"5710001",34.072,3.46
1979,8,"5710001",74.075,5.573
1979,9,"5710001",77.126,7.941
1979,10,"5710001",8.93,9.381
1979,11,"5710001",26.271,8.473
1979,12,"5710001",0.056,11.431
1979,1,"5721001",12.726,4.465
1979,2,"5721001",22.033,0.633
1979,3,"5721001",0.003,-0.86
1979,4,"5721001",105.519,1.181
1979,5,"5721001",96.074,-0.605
1979,6,"5721001",39.877,-3.224
1979,7,"5721001",16.224,1.842
1979,8,"5721001",25.735,3.872
1979,9,"5721001",37.164,6.07
1979,10,"5721001",13.941,7.816
1979,11,"5721001",15.536,7.012
1979,12,"5721001",0,9.194
1979,1,"5722001",16.012,9.347
1979,2,"5722001",21.417,6.324
1979,3,"5722001",0.837,4.715
1979,4,"5722001",125.862,5.83
1979,5,"5722001",104.742,4.438
1979,6,"5722001",59.22,1.798
1979,7,"5722001",13.905,7.064
1979,8,"5722001",18.925,9.186
1979,9,"5722001",29.287,11.569
1979,10,"5722001",10.147,13.584
1979,11,"5722001",23.67,12.544
1979,12,"5722001",0,14.07
1979,1,"5722002",12.327,8.016
1979,2,"5722002",23.462,4.079
1979,3,"5722002",0.018,2.261
1979,4,"5722002",107.928,4.224
1979,5,"5722002",98.001,2.999
1979,6,"5722002",44.435,0.378
1979,7,"5722002",14.343,5.373
1979,8,"5722002",25.481,7.531
1979,9,"5722002",33.186,9.746
1979,10,"5722002",11.77,11.512
1979,11,"5722002",15.485,10.779
1979,12,"5722002",0,12.827
1979,1,"5730008",16.713,11.97
1979,2,"5730008",28.756,8.622
1979,3,"5730008",0.453,7.285
1979,4,"5730008",110.489,8.962
1979,5,"5730008",89.294,7.681
1979,6,"5730008",61.04,5.306
1979,7,"5730008",6.605,9.727
1979,8,"5730008",19.91,12.178
1979,9,"5730008",24.052,14.651
1979,10,"5730008",3.889,16.551
1979,11,"5730008",8.788,15.768
1979,12,"5730008",0,16.833
1979,1,"5741001",18.707,12.997
1979,2,"5741001",32.722,10.381
1979,3,"5741001",0,7.478
1979,4,"5741001",144.401,8.032
1979,5,"5741001",96.515,7.835
1979,6,"5741001",41.366,7.49
1979,7,"5741001",0,11.056
1979,8,"5741001",0.258,13.938
1979,9,"5741001",12.387,16.62
1979,10,"5741001",0.241,19.109
1979,11,"5741001",15.372,17.593
1979,12,"5741001",0,17.727
1979,1,"6003001",16.093,7.902
1979,2,"6003001",153.981,2.307
1979,3,"6003001",13.81,-2.039
1979,4,"6003001",353.434,0.205
1979,5,"6003001",353.911,1.556
